2024-10-21 21:36:34.099: Contra(
  (encoder): Encoder(
    (gcn1): GCNConv(1870, 512)
    (gcn2): GCNConv(512, 256)
    (gcn3): GCNConv(256, 512)
    (gcn4): GCNConv(512, 1870)
    (s): Sigmoid()
    (activation): ReLU()
  )
  (rep_projector): MLP(
    (net): Sequential(
      (0): Linear(in_features=256, out_features=1024, bias=True)
      (1): PReLU(num_parameters=1)
      (2): Linear(in_features=1024, out_features=1024, bias=True)
    )
  )
)
2024-10-21 21:36:34.099: Namespace(dataset='acm', gpu=0, hidden=512, out_dim=256, pro_hid=1024, mask=0.4, rep=1, clu=1, pro=1, update_p=1, activation='relu', epochs=200, lr=0.0005, weight_decay=1e-06, n_clusters=3, n_input=1870)
2024-10-21 21:36:34.100: metrics:	 acc	 nmi	 ari	 f1
2024-10-21 21:43:34.306: epoch149 Q1:	0.9494	0.8072	0.8555	0.9495
2024-10-21 21:43:37.106: epoch150 Q1:	0.9494	0.8072	0.8555	0.9495
2024-10-21 21:43:39.937: epoch151 Q1:	0.9494	0.8072	0.8555	0.9495
2024-10-21 21:43:42.710: epoch152 Q1:	0.9494	0.8072	0.8555	0.9495
2024-10-21 21:43:45.505: epoch153 Q1:	0.9481	0.8041	0.8519	0.9482
2024-10-21 21:43:48.312: epoch154 Q1:	0.9481	0.8041	0.8519	0.9482
2024-10-21 21:43:51.120: epoch155 Q1:	0.9478	0.8034	0.8511	0.9479
2024-10-21 21:43:53.892: epoch156 Q1:	0.9478	0.8034	0.8511	0.9479
2024-10-21 21:43:56.721: epoch157 Q1:	0.9481	0.8041	0.8519	0.9482
2024-10-21 21:43:59.500: epoch158 Q1:	0.9494	0.8072	0.8555	0.9495
2024-10-21 21:44:02.316: epoch159 Q1:	0.9494	0.8072	0.8555	0.9495
2024-10-21 21:44:05.106: epoch160 Q1:	0.9498	0.8095	0.8565	0.9498
2024-10-21 21:44:07.924: epoch161 Q1:	0.9488	0.8052	0.8537	0.9488
2024-10-21 21:44:10.717: epoch162 Q1:	0.9481	0.8037	0.8519	0.9482
2024-10-21 21:44:13.492: epoch163 Q1:	0.9481	0.8041	0.8519	0.9482
2024-10-21 21:44:16.299: epoch164 Q1:	0.9478	0.8034	0.8511	0.9479
2024-10-21 21:44:19.195: epoch165 Q1:	0.9484	0.8069	0.8530	0.9485
2024-10-21 21:44:21.913: epoch166 Q1:	0.9484	0.8069	0.8530	0.9485
2024-10-21 21:44:24.705: epoch167 Q1:	0.9501	0.8107	0.8574	0.9502
2024-10-21 21:44:27.493: epoch168 Q1:	0.9498	0.8095	0.8565	0.9498
2024-10-21 21:44:30.310: epoch169 Q1:	0.9498	0.8095	0.8565	0.9498
2024-10-21 21:44:33.082: epoch170 Q1:	0.9498	0.8095	0.8565	0.9498
2024-10-21 21:44:35.902: epoch171 Q1:	0.9494	0.8087	0.8556	0.9495
2024-10-21 21:44:38.708: epoch172 Q1:	0.9491	0.8079	0.8547	0.9492
2024-10-21 21:44:41.499: epoch173 Q1:	0.9491	0.8084	0.8547	0.9492
2024-10-21 21:44:44.283: epoch174 Q1:	0.9488	0.8076	0.8538	0.9488
2024-10-21 21:44:47.091: epoch175 Q1:	0.9484	0.8069	0.8530	0.9485
2024-10-21 21:44:49.881: epoch176 Q1:	0.9488	0.8076	0.8538	0.9488
2024-10-21 21:44:52.690: epoch177 Q1:	0.9494	0.8091	0.8556	0.9495
2024-10-21 21:44:55.476: epoch178 Q1:	0.9501	0.8107	0.8574	0.9502
