2024-11-05 21:51:06.459: Contra(
  (encoder): Encoder(
    (gcn1): GCNConv(3703, 512)
    (gcn2): GCNConv(512, 256)
    (gcn3): GCNConv(256, 512)
    (gcn4): GCNConv(512, 3703)
    (s): Sigmoid()
    (activation): ReLU()
  )
  (rep_projector): MLP(
    (net): Sequential(
      (0): Linear(in_features=256, out_features=1024, bias=True)
      (1): PReLU(num_parameters=1)
      (2): Linear(in_features=1024, out_features=1024, bias=True)
    )
  )
)
2024-11-05 21:51:06.460: Namespace(dataset='cite', gpu=0, hidden=512, out_dim=256, pro_hid=1024, mask=0.3, rep=1, clu=1, pro=1, update_p=1, activation='relu', epochs=200, lr=0.001, weight_decay=0.01, n_clusters=6, n_input=3703)
2024-11-05 21:51:06.460: metrics:	 acc	 nmi	 ari	 f1
2024-11-05 21:52:42.384: epoch94 Q1:	0.7087	0.4522	0.4734	0.6644
2024-11-05 21:52:43.388: epoch95 Q1:	0.7102	0.4541	0.4757	0.6655
2024-11-05 21:52:44.383: epoch96 Q1:	0.7127	0.4571	0.4787	0.6666
2024-11-05 21:52:45.396: epoch97 Q1:	0.7127	0.4568	0.4786	0.6666
2024-11-05 21:52:46.418: epoch98 Q1:	0.7109	0.4528	0.4753	0.6662
2024-11-05 21:52:47.439: epoch99 Q1:	0.7096	0.4520	0.4741	0.6635
2024-11-05 21:52:48.441: epoch100 Q1:	0.7099	0.4517	0.4743	0.6637
2024-11-05 21:52:49.457: epoch101 Q1:	0.7093	0.4500	0.4730	0.6630
2024-11-05 21:52:50.501: epoch102 Q1:	0.7102	0.4509	0.4744	0.6643
2024-11-05 21:52:51.590: epoch103 Q1:	0.7109	0.4530	0.4759	0.6647
2024-11-05 21:52:52.649: epoch104 Q1:	0.7112	0.4536	0.4767	0.6649
2024-11-05 21:52:53.669: epoch105 Q1:	0.7090	0.4504	0.4734	0.6631
2024-11-05 21:52:54.686: epoch106 Q1:	0.7096	0.4517	0.4746	0.6637
2024-11-05 21:52:55.708: epoch107 Q1:	0.7112	0.4544	0.4770	0.6645
2024-11-05 21:52:56.737: epoch108 Q1:	0.7115	0.4549	0.4774	0.6642
2024-11-05 21:52:57.762: epoch109 Q1:	0.7087	0.4513	0.4738	0.6627
2024-11-05 21:52:58.830: epoch110 Q1:	0.7093	0.4515	0.4745	0.6632
